work_year,experience_level,job_title,company_location,company_size,salary_in_usd
2023,EN,Applied Scientist,US,L,213660
2023,EN,Applied Scientist,US,L,130760
2023,EN,Data Analyst,NG,L,100000
2023,EN,Data Analyst,NG,L,30000
2023,EN,Applied Scientist,US,L,204620
2023,EN,Applied Scientist,US,L,110680
2023,EN,Machine Learning Engineer,US,M,163196
2023,EN,Machine Learning Engineer,US,M,145885
2023,EN,Research Scientist,US,L,220000
2023,EN,Data Engineer,US,M,85000
2023,EN,Data Engineer,US,M,65000
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Analyst,US,M,70000
2023,EN,Data Analyst,US,M,85000
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Engineer,IN,L,17022
2023,EN,Data Engineer,US,M,85000
2023,EN,Data Engineer,US,M,65000
2023,EN,Data Analyst,CA,L,40663
2023,EN,Data Scientist,CA,L,51753
2023,EN,Data Scientist,US,M,130001
2023,EN,Data Scientist,US,M,71907
2023,EN,Data Engineer,US,M,85000
2023,EN,Data Engineer,US,M,65000
2023,EN,Applied Scientist,US,L,213660
2023,EN,Applied Scientist,US,L,130760
2023,EN,Data Engineer,US,M,60000
2023,EN,Data Engineer,US,M,85000
2023,EN,Data Engineer,US,M,65000
2023,EN,Data Engineer,US,M,155000
2023,EN,Data Engineer,US,M,125000
2023,EN,Data Engineer,US,M,155000
2023,EN,Data Engineer,US,M,125000
2023,EN,Data Analyst,US,M,64200
2023,EN,Data Analyst,US,M,56100
2023,EN,Data Engineer,US,M,92700
2023,EN,Data Engineer,US,M,61800
2023,EN,Data Analyst,ES,M,21461
2023,EN,Data Engineer,US,M,160000
2023,EN,Data Engineer,US,M,120000
2023,EN,Applied Scientist,DE,M,42923
2023,EN,Data Scientist,US,M,190000
2023,EN,Data Scientist,US,M,120000
2023,EN,Data Scientist,CH,L,121093
2023,EN,Data Analyst,US,M,85000
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Engineer,US,M,92700
2023,EN,Data Engineer,US,M,61800
2023,EN,Data Engineer,US,M,62000
2023,EN,Data Engineer,US,M,58000
2023,EN,Data Engineer,US,M,125000
2023,EN,Data Engineer,US,M,90000
2023,EN,Data Analyst,US,M,95000
2023,EN,Data Analyst,US,M,70000
2023,EN,Data Engineer,US,M,115100
2023,EN,Data Engineer,US,M,73900
2023,EN,AI Related,AU,L,70000
2023,EN,AI Related,SE,M,80000
2023,EN,Research Scientist,US,M,150000
2023,EN,Research Scientist,US,M,100000
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Analyst,US,M,60000
2023,EN,Data Engineer,US,M,125000
2023,EN,Data Engineer,US,M,90000
2023,EN,AI Related,DE,L,214618
2023,EN,Data Analyst,US,L,100000
2023,EN,Data Analyst,US,M,150000
2023,EN,Data Analyst,US,M,100000
2023,EN,Research Scientist,US,M,150000
2023,EN,Research Scientist,US,M,100000
2023,EN,Data Analyst,US,M,85000
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Analyst,IN,M,30000
2023,EN,Machine Learning Engineer,US,M,220000
2023,EN,AI Related,DE,M,64385
2023,EN,Data Analyst,US,M,55000
2023,EN,Data Analyst,US,M,48000
2023,EN,Data Scientist,BR,L,19522
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Analyst,US,M,60000
2023,EN,Data Engineer,GB,M,120000
2023,EN,Data Engineer,GB,M,60000
2023,EN,Data Analyst,US,L,60000
2023,EN,Data Analyst,US,L,50000
2023,EN,Data Scientist,IN,L,9727
2023,EN,Data Analyst,US,M,85000
2023,EN,Data Analyst,US,M,75000
2023,EN,Data Engineer,VN,L,12000
2023,EN,Data Analyst,US,M,55000
2023,EN,Data Analyst,US,M,48000
2023,EN,Data Analyst,US,M,100000
2023,EN,Data Scientist,US,S,110000
2023,EN,Data Scientist,IN,L,12767
2023,EN,Data Engineer,DE,L,26827
2023,EN,BI Related,US,M,160000
2023,EN,BI Related,US,M,100000
2023,EN,Data Engineer,SE,S,130000
2023,EN,Data Engineer,US,M,160000
2023,EN,Data Engineer,US,M,135000
2023,EN,Data Analyst,US,S,30000
2023,EN,Data Scientist,US,M,124234
2023,EN,Data Scientist,US,M,74540
2023,EN,Data Scientist,IN,S,12888
2023,EN,AI Related,BA,S,120000
2023,EN,Data Analyst,GR,L,12877
2023,EN,Data Engineer,US,M,160000
2023,EN,Data Engineer,US,M,135000
2023,EN,Data Scientist,US,M,50000
2023,EN,Data Engineer,US,M,160000
2023,EN,Data Engineer,US,M,135000
2023,EN,Data Engineer,US,M,160000
2023,EN,Data Engineer,US,M,120000
2023,EN,Data Engineer,US,M,150000
2023,EN,Data Engineer,US,M,120000
2023,EN,Data Engineer,US,M,160000
2023,EN,Data Engineer,US,M,135000
2023,EX,Data Scientist,US,M,258750
2023,EX,Data Scientist,US,M,185000
2023,EX,Data Engineer,US,M,220000
2023,EX,Data Engineer,US,M,205000
2023,EX,Other,US,M,329500
2023,EX,Other,US,M,269600
2023,EX,Data Engineer,US,M,145000
2023,EX,Data Engineer,US,M,115000
2023,EX,Data Engineer,US,M,175000
2023,EX,Data Engineer,US,M,110000
2023,EX,Data Engineer,US,M,221000
2023,EX,Data Engineer,US,M,153000
2023,EX,Data Scientist,US,M,200000
2023,EX,Data Scientist,US,M,145000
2023,EX,Data Engineer,US,M,180000
2023,EX,Data Engineer,US,M,155000
2023,EX,Data Engineer,US,M,286000
2023,EX,Data Engineer,US,M,207000
2023,EX,Data Scientist,US,M,353200
2023,EX,Data Scientist,US,M,249300
2023,EX,Data Scientist,US,M,145000
2023,EX,Data Scientist,US,M,100000
2023,EX,Data Engineer,US,M,265000
2023,EX,Data Engineer,US,M,235000
2023,EX,Data Engineer,US,M,194500
2023,EX,Data Engineer,US,M,115500
2023,EX,Data Scientist,US,M,200000
2023,EX,Data Scientist,US,M,145000
2023,EX,Data Engineer,US,M,210914
2023,EX,Data Engineer,US,M,116704
2023,EX,Data Engineer,US,M,167500
2023,EX,Data Engineer,US,M,106500
2023,EX,Data Engineer,US,M,310000
2023,EX,Data Engineer,US,M,239000
2023,EX,Data Engineer,US,M,310000
2023,EX,Data Engineer,US,M,239000
2023,EX,Data Scientist,GB,M,160288
2023,EX,Data Scientist,GB,M,127467
2023,EX,Data Engineer,US,M,310000
2023,EX,Data Engineer,US,M,239000
2023,EX,Data Engineer,US,M,235000
2023,EX,Data Engineer,US,M,210000
2023,EX,Data Engineer,US,M,210914
2023,EX,Data Engineer,US,M,116704
2023,EX,Data Engineer,US,M,284000
2023,EX,Data Engineer,US,M,236000
2023,EX,Data Analyst,US,M,155000
2023,EX,Data Analyst,US,M,140000
2023,EX,Data Engineer,US,M,175000
2023,EX,Data Engineer,US,M,110000
2023,EX,Data Scientist,US,M,314100
2023,EX,Data Scientist,US,M,195800
2023,EX,Data Engineer,US,M,200000
2023,EX,Data Engineer,US,M,145000
2023,EX,Data Engineer,US,M,310000
2023,EX,Data Engineer,US,M,239000
2023,EX,Data Scientist,US,M,300000
2023,EX,Data Scientist,US,M,200000
2023,EX,Data Engineer,US,M,196200
2023,EX,Data Engineer,US,M,150900
2023,MI,Data Analyst,US,M,150000
2023,MI,Data Analyst,US,M,110000
2023,MI,Data Engineer,US,M,162500
2023,MI,Data Engineer,US,M,130000
2023,MI,Data Analyst,US,M,105380
2023,MI,Data Analyst,US,M,64500
2023,MI,Data Scientist,HK,L,65062
2023,MI,Machine Learning Engineer,DE,S,69751
2023,MI,Machine Learning Engineer,NL,L,96578
2023,MI,Data Analyst,US,M,155000
2023,MI,Data Analyst,US,M,140000
2023,MI,Data Engineer,US,M,100000
2023,MI,Data Engineer,US,M,70000
2023,MI,Data Engineer,US,M,100000
2023,MI,Data Engineer,US,M,70000
2023,MI,Data Analyst,US,L,105000
2023,MI,Data Scientist,IN,L,20670
2023,MI,Data Analyst,GB,M,46178
2023,MI,Data Analyst,GB,M,42533
2023,MI,Data Engineer,US,M,162500
2023,MI,Data Engineer,US,M,130000
2023,MI,Data Scientist,GB,M,66837
2023,MI,Data Scientist,GB,M,54685
2023,MI,Data Engineer,GB,M,85066
2023,MI,Data Engineer,GB,M,57723
2023,MI,Machine Learning Engineer,US,M,300000
2023,MI,Machine Learning Engineer,US,M,250000
2023,MI,Data Engineer,US,M,230000
2023,MI,Data Engineer,US,M,200000
2023,MI,Data Engineer,US,M,180000
2023,MI,Data Engineer,US,M,130000
2023,MI,AI Related,FI,M,75020
2023,MI,AI Related,US,M,200000
2023,MI,Machine Learning Engineer,US,M,280700
2023,MI,Machine Learning Engineer,US,M,150450
2023,MI,Data Scientist,US,M,93918
2023,MI,Data Scientist,US,M,51962
2023,MI,Data Engineer,ES,M,48289
2023,MI,Data Analyst,US,M,90000
2023,MI,Data Analyst,US,M,75000
2023,MI,Research Scientist,GB,M,195895
2023,MI,Research Scientist,GB,M,102772
2023,MI,Data Analyst,US,M,130000
2023,MI,Data Analyst,US,M,80000
2023,MI,Data Scientist,US,M,180000
2023,MI,Data Scientist,US,M,140000
2023,MI,Data Analyst,US,L,68000
2023,MI,Data Engineer,US,M,125000
2023,MI,Data Engineer,US,M,90000
2023,MI,Other,US,M,135000
2023,MI,Other,US,M,120000
2023,MI,Data Analyst,US,M,182500
2023,MI,Data Analyst,US,M,121500
2023,MI,Data Analyst,GB,M,72914
2023,MI,Data Analyst,US,M,121500
2023,MI,Data Analyst,GB,M,72914
2023,MI,Data Analyst,GB,M,54685
2023,MI,Data Engineer,US,M,167500
2023,MI,Data Engineer,US,M,106500
2023,MI,Data Engineer,US,M,146000
2023,MI,Data Engineer,US,M,75000
2023,MI,Applied Scientist,US,M,230000
2023,MI,Applied Scientist,US,M,220000
2023,MI,Research Scientist,US,M,210000
2023,MI,Research Scientist,US,M,151800
2023,MI,Machine Learning Engineer,US,L,135000
2023,MI,Machine Learning Engineer,US,L,104000
2023,MI,Machine Learning Engineer,US,M,134000
2023,MI,Machine Learning Engineer,US,M,124000
2023,MI,Data Engineer,US,M,167500
2023,MI,Data Engineer,US,M,106500
2023,MI,Machine Learning Engineer,US,L,135000
2023,MI,Data Engineer,US,M,143865
2023,MI,Data Engineer,US,M,115092
2023,MI,Machine Learning Engineer,US,M,130000
2023,MI,Machine Learning Engineer,US,M,90000
2023,MI,Data Engineer,US,M,149600
2023,MI,Data Engineer,US,M,102000
2023,MI,Data Scientist,IE,M,96578
2023,MI,Data Scientist,IE,M,80481
2023,MI,Data Analyst,US,M,128000
2023,MI,Data Analyst,US,M,85000
2023,MI,Data Engineer,US,M,151000
2023,MI,Data Engineer,US,M,140000
2023,MI,Data Analyst,US,M,154000
2023,MI,Data Analyst,US,M,143000
2023,MI,Data Scientist,GB,M,78990
2023,MI,Data Scientist,GB,M,51039
2023,MI,Data Scientist,GB,M,85066
2023,MI,Data Scientist,GB,M,51039
2023,MI,Data Scientist,GB,M,109371
2023,MI,Data Scientist,GB,M,72914
2023,MI,Data Engineer,US,M,75000
2023,MI,Data Engineer,US,M,60400
2023,MI,Data Scientist,DE,M,60093
2023,MI,Data Analyst,US,M,83500
2023,MI,Data Analyst,US,M,52500
2023,MI,Data Engineer,US,M,90000
2023,MI,Data Engineer,US,M,90000
2023,MI,Data Engineer,US,M,145000
2023,MI,Data Engineer,US,M,120000
2023,MI,Data Analyst,US,M,206000
2023,MI,Data Analyst,US,M,130000
2023,MI,Data Analyst,US,M,160000
2023,MI,Data Analyst,US,M,112000
2023,MI,Data Engineer,US,M,162500
2023,MI,Data Engineer,US,M,130000
2023,MI,Data Scientist,US,M,145000
2023,MI,Data Scientist,US,M,100000
2023,MI,Data Scientist,US,M,145000
2023,MI,Data Scientist,US,M,100000
2023,MI,Data Analyst,US,M,100000
2023,MI,Data Analyst,US,M,85000
2023,MI,Data Engineer,GB,M,85066
2023,MI,Data Engineer,GB,M,57723
2023,MI,Data Engineer,US,M,140000
2023,MI,Data Engineer,US,M,95000
2023,MI,Data Analyst,US,L,130000
