work_year,experience_level,job_title,company_location,company_size,salary_in_usd
2023,2,6,66,1,280700
2022,3,3,66,1,80000
2023,3,5,66,1,156400
2022,3,5,66,1,125000
2020,2,5,66,1,118000
2022,2,4,25,1,92350
2023,3,4,66,1,289800
2022,2,8,18,2,84053
2023,3,3,66,1,64980
2023,2,6,66,1,160000
2020,0,5,66,2,105000
2023,3,3,66,1,130000
2023,0,6,66,1,145885
2022,2,6,66,1,180000
2022,3,4,66,1,185900
2022,3,3,66,1,192500
2022,0,3,66,0,46000
2022,3,3,22,1,50432
2023,3,4,66,1,205600
2023,3,5,10,1,258000
2021,3,5,66,0,220000
2022,3,5,66,1,148000
2022,3,5,66,1,186000
2022,2,4,66,1,118000
2022,2,3,35,1,17805
2023,3,4,18,2,107309
2023,0,4,59,2,130000
2023,0,5,12,0,121093
2023,3,5,66,1,102500
2023,3,3,66,1,140000
2023,3,6,66,1,203500
2022,2,4,66,1,85000
2023,0,1,66,0,130760
2023,3,6,66,1,188800
2023,3,5,66,1,145000
2022,3,1,66,1,192000
2023,3,4,66,1,150000
2022,3,5,66,1,120000
2023,3,3,66,1,110000
2023,3,5,66,1,182000
2023,3,6,10,1,158000
2022,3,5,66,1,155000
2023,3,5,66,1,84000
2022,2,3,25,1,49253
2021,2,5,18,0,90734
2022,3,4,66,1,100000
2023,0,3,66,1,100000
2022,0,6,56,0,21013
2022,3,4,66,1,130000
2022,0,5,66,1,80000
2021,3,4,10,0,127221
2022,2,5,25,1,86193
2023,0,4,66,1,155000
2022,2,5,35,0,13989
2022,3,6,66,1,119000
2023,3,3,66,1,165000
2023,3,6,66,1,318300
2023,3,3,66,1,110600
2023,3,5,66,1,105000
2021,0,5,24,1,49646
2023,2,5,66,1,82920
2023,3,5,66,1,180000
2023,3,4,66,1,180000
2023,3,5,66,1,237000
2020,2,6,56,1,50180
2022,3,5,66,1,225000
2022,3,4,66,1,250000
2022,3,5,66,1,141525
2022,3,4,66,1,175000
2023,0,0,6,0,70000
2022,0,3,66,1,20000
2022,3,6,47,1,185000
2022,3,5,66,1,149850
2022,3,4,66,1,140000
2023,3,3,66,1,145000
2022,3,5,66,1,191475
2023,3,5,66,1,134000
2023,3,4,66,0,240500
2022,3,4,66,1,190000
2023,3,4,66,1,221484
2023,2,3,66,1,150000
2023,3,4,66,1,188500
2023,2,3,66,1,150000
2023,3,5,66,1,191765
2023,3,4,66,1,231250
2022,0,3,66,0,50000
